DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES,MES
BEL,BOG,36,24282,101668976,OCT
BEL,BOG,380,25821,1081127852,OCT
BEL,BOG,99,30228,126564938,OCT
BEL,BOG,1395,108149,452820944,OCT
BEL,BOG,207,122307,512100632,OCT
BEL,BOG,350,14175,593508667,OCT
BEL,BOG,1,40,1648248,OCT
BEL,BOG,45,1645575,7218578028,OCT
BEL,BOG,1400,7524,3197481804,OCT
BEL,BOG,1160,8700,369592254,OCT
BEL,BOG,140,1190,48323877,OCT
BEL,BOG,756,399398,1659474726,OCT
BEL,BOG,155,7776,3204194112,OCT
BEL,BOG,348,5967619,2519582435,OCT
BLZ,BOG,72,644,27190259,OCT
BLZ,BOG,975,1355,57209319,OCT
BLZ,BOG,155,104,43909736,OCT
BLZ,BOG,1216,210,8866389,OCT
BLZ,BOG,51457,1056399,4474042223,OCT
BLZ,BOG,156,642,27987348,OCT
BLZ,BOG,2466,1248167,5441259019,OCT
BLZ,BOG,237,225165,987722298,OCT
BLR,BOG,32458,3252312,1374879123,OCT
BLR,BOG,72650,2506498,1038048601,OCT
BLR,BOG,39500,78035,32317649,OCT
BLR,BOG,66500,2230044,9235571122,OCT
BLR,BOG,2650,500,2070715,OCT
BLR,BOG,85600,1643203,68052102,OCT
BLR,BOG,7950,27635,114448418,OCT
BLR,BOG,10000,1900,7868717,OCT
BLR,BOG,1120,3464,1519539024,OCT
BLR,BOG,104,274,120194484,OCT
BLR,BOG,12850,44955,1861779856,OCT
BLR,BOG,1750,3325,137702547,OCT
BLR,BOG,6400,1212,501941316,OCT
BLR,BOG,1600,5984,247823171,OCT
BLR,BOG,400,512,20791449,OCT
BLR,BOG,12700,16129,65497127,OCT
BLR,BOG,11225,363295,1543898394,OCT
BLR,BOG,7850,101295,430474374,OCT
BLR,BOG,25350,289215,1229079877,OCT
BLR,BOG,12000,1632,687719904,OCT
BLR,BOG,500,5,21194,OCT
BLR,BOG,246,446,188273994,OCT
BLR,BOG,25,272,1148218,OCT
BOL,BOG,164,64671,273046782,OCT
BOL,BOG,683,26582,1122315963,OCT
BOL,BOG,160,1248,526916832,OCT
BOL,BOG,250,19875,839140387,OCT
BOL,BOG,860,29442,1243067737,OCT
BOL,BOG,180,675,284991075,OCT
BOL,BOG,500,185481,783117475,OCT
BOL,BOG,180,7083,299050634,OCT
BOL,BOG,253,96278,406494381,OCT
BOL,BOG,340,2556,1079166204,OCT
BOL,BOG,180,12888,544142959,OCT
BOL,BOG,700,4515,1906273635,OCT
BOL,BOG,160,6624,279671241,OCT
BOL,BOG,250,16775,708255597,OCT
BOL,BOG,180,14328,604941055,OCT
BOL,BOG,643,1536733,6529578517,OCT
BOL,BOG,170,59103,251128647,OCT
BOL,BOG,50,371,1576379,OCT
BOL,BOG,172,26660,1098557292,OCT
BOL,BOG,89,40829,168240793,OCT
BOL,BOG,99,73425,302556523,OCT
BOL,BOG,32,24864,102455095,OCT
BOL,BOG,10,643,26495586,OCT
BOL,BOG,102,37298,153690884,OCT
BOL,BOG,198,75686,311873245,OCT
BOL,BOG,66,15114,6227905,OCT
BOL,BOG,13,2925,12052813,OCT
BOL,BOG,132,5529,227829079,OCT
BOL,BOG,10,976,40217251,OCT
BOL,BOG,45,28395,117005004,OCT
BOL,BOG,15,4875,20088022,OCT
BOL,BOG,250,116828,481403793,OCT
BOL,BOG,160,7692,324763162,OCT
BOL,BOG,1666,456035,1925420813,OCT
BOL,BOG,204,5304,223939653,OCT
BOL,BOG,19,50174,211839143,OCT
BOL,BOG,18,35874,151463256,OCT
BOL,BOG,149,90145,382111133,OCT
BOL,BOG,12,6564,27823811,OCT
BOL,BOG,38,17848,75654994,OCT
BOL,BOG,65,4199,177989311,OCT
BOL,BOG,39,13844,58682639,OCT
BOL,BOG,32,13952,59140435,OCT
BOL,BOG,90,37135,157409694,OCT
BOL,BOG,239,75238,318922596,OCT
BOL,BOG,33,11369,48191485,OCT
BOL,BOG,245,70379,298326024,OCT
BOL,BOG,101,57731,244713049,OCT
BOL,BOG,319,78963,334712312,OCT
BOL,BOG,48,1816,76977516,OCT
BOL,BOG,266,87868,372459271,OCT
BOL,BOG,11,10274,43549944,OCT
BOL,BOG,74,30266,128293034,OCT
BOL,BOG,59,59412,251838556,OCT
BOL,BOG,4,1964,8325101,OCT
BOL,BOG,38,16302,69101732,OCT
BOL,BOG,20,368,15598968,OCT
BOL,BOG,85400,12943,5333318466,OCT
BOL,BOG,58404,1042644,4296339719,OCT
BOL,BOG,31997,71333,306907458,OCT
BOL,BOG,153519,348429,1502202762,OCT
BOL,BOG,14961,26634,11523761,OCT
BOL,BOG,29817,62091,271857143,OCT
BOL,BOG,90253,244459,1030142892,OCT
BOL,BOG,65056,121783,517407687,OCT
BOL,BOG,2829,6336,27246794,OCT
BOL,BOG,11011,21228,91153423,OCT
BOL,BOG,16454,30955,133516803,OCT
BOL,BOG,1368,2456,1034951,OCT
BOL,BOG,17504,40269,173217996,OCT
BOL,BOG,466,1102,4738946,OCT
BOL,BOG,1804,243896,1053619355,OCT
BOL,BOG,11018,11975,504961378,OCT
BOL,BOG,39722,373756,1632741736,OCT
BOL,BOG,10491,14286902,5800108289,OCT
BOL,BOG,135,1557238,6416786046,OCT
BOL,BOG,172982,9046546,3682714307,OCT
BOL,BOG,2805,2235621,9212144604,OCT
BOL,BOG,100,3903,1582182528,OCT
BOL,BOG,4397,219125,88828016,OCT
BOL,BOG,8526,2066587,8389697402,OCT
BOL,BOG,14687,53421,2267721248,OCT
BOL,BOG,7091,340716,1444927874,OCT
BOL,BOG,7734,202322,8201648307,OCT
BOL,BOG,1964,110364,46927766,OCT
BOL,BOG,213201,4812736,2031980454,OCT
BOL,BOG,281684,9977531,4196258408,OCT
BOL,BOG,164859,7975116,3342479527,OCT
BOL,BOG,220978,8329491,3502972496,OCT
BOL,BOG,96992,652848,2761945277,OCT
BOL,BOG,220,27000,117703799,OCT
BOL,BOG,77,175,7676655,OCT
BOL,BOG,456,819,3451241,OCT
BOL,BOG,95,49495,200640851,OCT
BOL,BOG,99,63469,257948468,OCT
BOL,BOG,285,138182,560156664,OCT
BOL,BOG,5,144,5837414,OCT
BOL,BOG,270,110556,454710944,OCT
BOL,BOG,98,42531,172410466,OCT
BOL,BOG,2177,550625,22321016,OCT
BOL,BOG,363,113704,460928727,OCT
BOL,BOG,176,70655,286418412,OCT
BOL,BOG,64,23894,96860541,OCT
BOL,BOG,1867,438033,177790181,OCT
BOL,BOG,504,210835,854674489,OCT
BOL,BOG,96,24012,97579046,OCT
BOL,BOG,28,26768,108511047,OCT
BOL,BOG,16,7183,29598413,OCT
BOL,BOG,244,162116,657179356,OCT
BOL,BOG,8,4752,19263467,OCT
BOL,BOG,126,25389,102920912,OCT
BOL,BOG,120,1000,4359400,OCT
BOL,BOG,9835,1752,768542832,OCT
BOL,BOG,4,2084,9141799,OCT
BOL,BOG,13,8944,39234287,OCT
BOL,BOG,26,1248,54745516,OCT
BOL,BOG,15,1044,4579673,OCT
BOL,BOG,300,22674,966725162,OCT
BOL,BOG,289,117143,50649445,OCT
BOL,BOG,57,29241,128270325,OCT
BOL,BOG,92,33625,142730086,OCT
BOL,BOG,41,17712,77696521,OCT
BOL,BOG,812,195762,857535212,OCT
BOL,BOG,236,115202,5046474,OCT
BOL,BOG,45,13382,57986756,OCT
BOL,BOG,148,48335,203080952,OCT
BOL,BOG,84,48378,204874469,OCT
BOL,BOG,825,190256,827793743,OCT
BOL,BOG,532,216844,947463131,OCT
BOL,BOG,107,43221,186001347,OCT
BOL,BOG,17,8211,34498762,OCT
BOL,BOG,314,231764,1014450344,OCT
BOL,BOG,7,3108,13058355,OCT
BOL,BOG,178,143307,61691369,OCT
BOL,BOG,33,19602,85987309,OCT
BOL,BOG,8,2488,1091401,OCT
BOL,BOG,218,124889,526085214,OCT
BOL,BOG,46,21091,92080287,OCT
BOL,BOG,29,6264,27478038,OCT
BOL,BOG,161,389633,1618901737,OCT
BOL,BOG,25,69725,289703191,OCT
BOL,BOG,20,39655,163403186,OCT
BOL,BOG,383,168,73695888,OCT
BOL,BOG,3,5374,2357391084,OCT
BOL,BOG,1,394,172834404,OCT
BOL,BOG,2,100,438666,OCT
BOL,BOG,512,685,30048621,OCT
BOL,BOG,331,145,6360657,OCT
BOL,BOG,180,5130,213148422,OCT
BOL,BOG,81,8222,358429868,OCT
BOL,BOG,151,7852,342300088,OCT
BOL,BOG,155,43044,178263712,OCT
BOL,BOG,30,732,303152676,OCT
BOL,BOG,222,371018,1536545071,OCT
BOL,BOG,38275,732324,3032868578,OCT
BOL,BOG,28,14712,60928718,OCT
BOL,BOG,3366,794,337615946,OCT
BOL,BOG,100,5300,23249298,OCT
BOL,BOG,1,22,9354598,OCT
BOL,BOG,586,71485,2946374586,OCT
BOL,BOG,1,19,8078971,OCT
BOL,BOG,1,21,8929389,OCT
BOL,BOG,5,108,45922572,OCT
BOL,BOG,504,8534,3566723178,OCT
BOL,BOG,3,58,24662122,OCT
BOL,BOG,1,19,8078971,OCT
BOL,BOG,15725,402058,1708344442,OCT
BOL,BOG,20000,33888,1423814486,OCT
BOL,BOG,77,6375,262689525,OCT
BOL,BOG,42,2625,108166275,OCT
BOL,BOG,40,4,1656572,OCT
BOL,BOG,130,13,5383859,OCT
BOL,BOG,5288,507676,2109363319,OCT
BOL,BOG,312,197832,815190495,OCT
