DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES,MES
SAU,BOG,31900,252600,992073552,DIC
SAU,BOG,208800,142128,568430987,DIC
SAU,BOG,7000,700,2740801,DIC
SAU,BOG,2330700,1814027,7206974383,DIC
SAU,BOG,220500,137710,539264539,DIC
SAU,BOG,400,1120766,4419213960,DIC
SAU,BOG,400,224848,886582409,DIC
SAU,BOG,5320,6863400,27150786792,DIC
SAU,BOG,300,1127425,4309074721,DIC
SAU,BOG,100,5000,19992550,DIC
SAU,BOG,375000,139500,557987445,DIC
SAU,BOG,80000,15200,60798632,DIC
SAU,BOG,156000,147450,589786729,DIC
SAU,BOG,50000,15000,59998650,DIC
SAU,BOG,10900,163000,651985330,DIC
SAU,BOG,284600,1047213,4170525772,DIC
SAU,BOG,396000,1859616,7107545332,DIC
SAU,BOG,18000,246600,986259438,DIC
SAU,BOG,100,487820,1942743150,DIC
SAU,BOG,600,1369304,5539135926,DIC
SAU,BOG,4400400,22079007,86395900572,DIC
SAU,BOG,1296000,3237380,12894970147,DIC
SAU,BOG,23800,107773,418029453,DIC
SAU,BOG,16400,87680,340089257,DIC
SAU,BOG,32800,71592,277082665,DIC
SAU,BOG,13750,37305,144714329,DIC
SAU,BOG,18000,99975,387999722,DIC
SAU,BOG,39760,159205,617645961,DIC
SAU,BOG,4400,14674,56084761,DIC
SAU,BOG,428800,1767150,7050133282,DIC
SAU,BOG,157680,2237400,8764763718,DIC
SAU,BOG,127600,341185,1320880668,DIC
SAU,BOG,25800,341184,1320876796,DIC
SAU,BOG,13400,341184,1320876796,DIC
SAU,BOG,100,600000,2393730000,DIC
SAU,BOG,11100,341184,1320876796,DIC
SAU,BOG,60000,15600,61348404,DIC
SAU,BOG,300,28800,112764384,DIC
SAU,BOG,500,116000,454189880,DIC
SAU,BOG,300,33600,131558448,DIC
SAU,BOG,600,96300,377055909,DIC
SAU,BOG,600,61200,239624316,DIC
SAU,BOG,400,92800,363351904,DIC
SAU,BOG,379700,847952,3320096699,DIC
ARG,BOG,2171000,723460,2893427627,DIC
ARG,BOG,18400,36800,147145168,DIC
ARG,BOG,2097100,305400,1221144954,DIC
ARG,BOG,380000,100000,402321000,DIC
ARG,BOG,143,10470,41174217,DIC
ARG,BOG,143,10470,41174217,DIC
ARG,BOG,143,10470,41174217,DIC
ARG,BOG,143,10470,41174217,DIC
ARG,BOG,142,10470,41174217,DIC
ARG,BOG,143,10470,41174217,DIC
ARG,BOG,143,10470,41174217,DIC
ARG,BOG,200,396894,1580630355,DIC
ARG,BOG,700000,9100000,36394813000,DIC
ARG,BOG,7500,223780,892781499,DIC
ARG,BOG,104300,2307210,8932248154,DIC
ARG,BOG,200,1526558,6038880261,DIC
ARG,BOG,60000,4899329,18967507257,DIC
ARG,BOG,40000,9200,36786292,DIC
ARG,BOG,90000,5400,21591954,DIC
ARG,BOG,62260,570000,2305775400,DIC
ARG,BOG,890,8857,35828513,DIC
ARG,BOG,100,248652,976150562,DIC
ARG,BOG,930,354476,1394008772,DIC
ARG,BOG,930,205079,806491624,DIC
ARG,BOG,59100,48972,193098065,DIC
ARG,BOG,100,435,1707709,DIC
ARG,BOG,100,14602,57656581,DIC
ARG,BOG,100,59658,235561999,DIC
ARG,BOG,800,20640,81027892,DIC
ARG,BOG,300,157242,620876326,DIC
ARG,BOG,700,158381,625373713,DIC
ARG,BOG,400,59836,234902373,DIC
ARG,BOG,300,96345,372994850,DIC
ARG,BOG,100,1154100,4596203250,DIC
ARG,BOG,23700,92306,369215692,DIC
ARG,BOG,215479,184478148,722410000000,DIC
AUS,BOG,13768000,2324153,9124090122,DIC
AUS,BOG,1168000,327040,1303978726,DIC
AUS,BOG,520000,72800,285796056,DIC
AUS,BOG,945000,520200,2059498854,DIC
AUS,BOG,396500,265670,1058030775,DIC
AUS,BOG,300,79920,305458236,DIC
AUS,BOG,44000,7918,31084246,DIC
AUS,BOG,180000,37800,148394106,DIC
AUS,BOG,12630400,848410,3379344291,DIC
AUS,BOG,1210000,411400,1655148594,DIC
AUS,BOG,57760000,10749860,43015778316,DIC
AUS,BOG,485800,643068,2543899839,DIC
AUS,BOG,6512000,1169520,4599242656,DIC
AUS,BOG,402000,72360,286247476,DIC
AUS,BOG,30000,9350,37822807,DIC
AUS,BOG,63200,1295384,5240113264,DIC
AUS,BOG,100,10190,41220791,DIC
AUS,BOG,44500,624569,2526519010,DIC
AUS,BOG,100,146143,584354246,DIC
AUS,BOG,532000,95760,381426444,DIC
AUS,BOG,1200,75000,299316000,DIC
AUS,BOG,80000,14400,56629296,DIC
AUS,BOG,3110000,558600,2196744774,DIC
AUS,BOG,5615000,1482700,5905816504,DIC
AUS,BOG,34000000,6956000,27706791400,DIC
AUS,BOG,500,500,1999255,DIC
