DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
BOL,BOG,72900,536509,2140429480
BOL,BOG,1200,8688,33635157
BOL,BOG,1700,12420,48083409
BOL,BOG,100,1518527,5878901354
BOL,BOG,44000,213982,844916486
BOL,BOG,123256,1016108,4018431465
BOL,BOG,6720,228475,902585335
BOL,BOG,683,18772,74254340
BOL,BOG,33363,445500,1759378384
BOL,BOG,11004,34720,137348153
BOL,BOG,24601,102885,407000713
BOL,BOG,2525,48996,194682726
BOL,BOG,26420,567346,2244740464
BOL,BOG,2325,48528,192013649
BOL,BOG,2724,56868,225013027
BOL,BOG,158575,3335437,13196019066
BOL,BOG,19369,36168,142810794
BOL,BOG,864,4487,17717098
BOL,BOG,6791,141756,560894470
BOL,BOG,26235,1566772,6199340778
BOL,BOG,27600,1354004,5357468867
BOL,BOG,968,9451,37317650
BOL,BOG,125,2700,10754505
BOL,BOG,988,36096,142823208
BOL,BOG,88793,11686714,46241522486
BOL,BOG,31880,705728,2763228583
BOL,BOG,3200,112000,443157120
BOL,BOG,36700,527600,2084856714
BOL,BOG,29197,609468,2411518603
BOL,BOG,148,3622,14301610
BOL,BOG,11688,243970,965330737
BOL,BOG,1588,152215,601457057
BOL,BOG,163,3605,14234486
BOL,BOG,484,27755,109591727
BOL,BOG,5750,207305,802570942
BOL,BOG,3323,40524,160010634
BOL,BOG,51800,385100,1471871455
BOL,BOG,2500,245000,991078900
BOL,BOG,2000,1563800,6325915036
BOL,BOG,2100,216300,874981086
BOL,BOG,120700,935847,3727618978
BOL,BOG,30000,4166100,15923042505
BOL,BOG,32200,613280,2418181438
BOL,BOG,16600,286720,1130545561
BOL,BOG,900,17845,70363370
BOL,BOG,16800,707722,2790569077
BOL,BOG,2800,43168,170212719
BOL,BOG,100,240987,950218970
BOL,BOG,10000,227200,895856416
BOL,BOG,800,34056,134283829
BOL,BOG,68121,52185339,2.04763E+11
BOL,BOG,13200,274800,1075960164
BOL,BOG,2000,35400,138606222
BOL,BOG,24200,871200,3411122616
BOL,BUN,1122958,9253091,36603299611
BOL,BUN,21022,897240,3548117643
BOL,BUN,77902,1935553,7632038163
BOL,BUN,1508,39022,154333468
BOL,BUN,324363,2056399,8126021806
BOL,BUN,5557,20001,78786363
BOL,BUN,46262,160021,626551023
BOL,BUN,15518,88625,348992882
BOL,BUN,29929,1201843,4732946523
BOL,BUN,4117,102855,403446980
BOL,BUN,1822,47006,188019769
BOL,BUN,440900,2232502,8802494781
BOL,BUN,63711,188665,741698402
BOL,BUN,66122,861237,3380405996
BOL,BUN,132205,518040,2065663749
BOL,BUN,4876,57243,228343976
BOL,BUN,1129,26440,103523968
BOL,BUN,424,33610,132353442
BOL,BUN,295,8579,33962607
BOL,BUN,1960,15794,63174578
BOL,BUN,5000,5893,23428021
BRA,BOG,20510,114200,448322934
BRA,BOG,18250000,785750,3089475504
BRA,BOG,3095,6341825,25256318062
BRA,BOG,3872500,1482350,5963805343
BRA,BOG,810000,96300,387435123
BRA,BOG,2167500,764550,2922148327
BRA,BOG,4170000,145950,581340742
BRA,BOG,430000,127200,505470872
BRA,BOG,3168000,316800,1264310784
BRA,BOG,549600,2376188,9250814000
BRA,BOG,47360,15840000,62184196800
BRA,BOG,2610000,432720,1694284869
BRA,BOG,2000,199178,793226385
BRA,BOG,208800,824760,3262651588
BRA,BOG,7800,21320,84339361
BRA,BOG,240000,1031140,4079066103
BRA,BOG,351800,1085120,4292604505
BRA,BOG,3400,150000,596579250
BRA,BOG,188221,959769,3822903892
BRA,BOG,36100000,4085300,16436019813
BRA,BOG,58399,2462800,9534607060
BRA,BOG,206601,8712800,33731169560
BRA,BOG,6800,250992,965016551
BRA,BOG,12000,312000,1234509120
BRA,BOG,700,3750300,14999062329
BRA,BOG,153577,596307,2354542041
BRA,BOG,200,16000,63832800
BRA,BOG,2893500,2054093,8180425372
BRA,BOG,64,3309,13090006
BRA,BOG,5980,259173,1036305832
BRA,BOG,446,154600,611579048
BRA,BOG,1400,41700,164654118
BRA,BOG,5300,135929,537718812
BRA,BOG,700000,124948,499605827
BRA,BOG,1340,38498,152293468
BRA,BOG,400,147464,570899502
BRA,BOG,100,376300,1488597644
BRA,BOG,1900,16800,66458784
BRA,BOG,500,171400,678037832
BRA,BOG,200,53600,212035168
BRA,BOG,200,469300,1872919984
