DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
ABW,BOG,116000,16240,66284450
ABW,BOG,570000,189600,760389636
ABW,BOG,128000,32320,131695333
ABW,BOG,485000,260000,1044384370
ABW,BOG,10000,1800,7411878
ABW,BOG,270000,131370,527326034
ABW,BOG,25500,14970,61309115
ABW,BOG,258400,276376,1107340844
ABW,BOG,21200,374196,1515603389
ABW,BOG,3000,6131,25090075
ABW,BOG,2500,5653,23133941
ABW,BOG,8400,18306,74914192
ABW,BOG,6250,23900,95004651
ABW,BOG,205,2254,8959852
ABW,BOG,6745,35666,141775559
ABW,BOG,750,4035,16039488
ABW,BOG,105835,514963,2047024269
ABW,BOG,954,6131,24405487
ABW,BOG,10529,5653,22502727
ABW,BOG,2672,18306,72870145
ABW,BOG,56011,46620201,1.86988E+11
BIH,BOG,80000,13600,55294744
BIH,BOG,40000,5956,24215845
BIH,BOG,80000,11480,46675269
BIH,BOG,3991000,1115700,4435007913
BIH,BOG,1170000,140400,558102636
AIA,BOG,191,172968,688528528
ATG,BOG,200,36580,146505094
ATG,BOG,7000,525458,2104490817
ATG,BOG,23200,458032,1834445641
ATG,BOG,600,42636,170759738
ATG,BOG,600,27900,111741174
ATG,BOG,15000,205770,824121196
ATG,BOG,2000,87978,352357168
ATG,BOG,11600,492730,1973413213
ATG,BOG,15800,235334,942526790
ATG,BOG,4100,283075,1133732359
ATG,BOG,14200,139366,558169191
ATG,BOG,600,11490,46018139
SAU,BOG,496800,337248,1380130107
SAU,BOG,140000,90000,365413500
SAU,BOG,480000,57600,232963776
SAU,BOG,2661900,2022811,8246940435
SAU,BOG,60159,440900,1788280569
SAU,BOG,12000,48480,192153873
SAU,BOG,4600,27186,107753614
SAU,BOG,4000,18300,72533331
SAU,BOG,5280,22176,87896128
SAU,BOG,8100,24975,98990160
SAU,BOG,2500,14850,58859014
SAU,BOG,5661,29045,115121890
SAU,BOG,2000,9000,35672130
SAU,BOG,318000,220260,894288639
SAU,BOG,393400,338952,1360690519
SAU,BOG,8500,74400,296847816
SAU,BOG,1345000,475350,1957353448
SAU,BOG,240000,45600,187767576
SAU,BOG,30000,9600,39530016
SAU,BOG,80000,25600,105413376
SAU,BOG,129000,125850,518213803
SAU,BOG,100000,33400,137531514
SAU,BOG,143000,405000,1667672550
SAU,BOG,100,1307768,5332345553
SAU,BOG,8900,1054850,4269093983
SAU,BOG,1000,783160,3113131484
SAU,BOG,1296000,6502680,25944977905
SAU,BOG,2800,7974,32375636
SAU,BOG,1088000,3625991,14798501829
SAU,BOG,9000,39825,163851599
SAU,BOG,30000,75392,308069680
SAU,BOG,9800,12920,52457138
SAU,BOG,6000,34006,139910545
SAU,BOG,37490,200739,820632045
SAU,BOG,7600,26251,107421138
SAU,BOG,272000,2584500,10455925905
SAU,BOG,797000,3593000,14282498370
SAU,BOG,144000,2064000,8268672960
SAU,BOG,200,379600,1508944164
SAU,BOG,7000,56791,229276057
ARG,BOG,2548000,254800,1009917636
ARG,BOG,3165000,923375,3778755213
ARG,BOG,2620000,513400,2072693346
